iter	Passed	Remaining
634	1355	779
635	1357	776
636	1359	774
637	1360	772
638	1362	769
639	1363	767
640	1365	764
641	1367	762
642	1369	760
643	1370	757
644	1372	755
645	1374	753
646	1376	750
647	1378	748
648	1380	746
649	1382	744
650	1384	742
651	1386	739
652	1387	737
653	1389	735
654	1391	732
655	1393	730
656	1394	728
657	1396	725
658	1398	723
659	1400	721
660	1401	718
661	1403	716
662	1405	714
663	1407	712
664	1409	709
665	1410	707
666	1412	705
667	1414	702
668	1416	700
669	1417	698
670	1419	695
671	1421	693
672	1424	691
673	1425	689
674	1427	687
675	1429	685
676	1431	682
677	1432	680
678	1434	678
679	1436	675
680	1439	674
681	1440	671
682	1442	669
683	1444	667
684	1445	664
685	1447	662
686	1449	660
687	1451	658
688	1453	656
689	1455	653
690	1456	651
691	1458	649
692	1460	647
693	1462	644
694	1464	642
695	1467	640
696	1469	638
697	1471	636
698	1472	634
699	1474	631
700	1476	629
701	1477	627
702	1479	625
703	1482	623
704	1484	621
705	1486	618
706	1488	616
707	1490	614
708	1493	612
709	1494	610
710	1496	608
711	1499	606
712	1501	604
713	1503	602
714	1505	600
715	1507	598
716	1509	595
717	1511	593
718	1512	591
719	1514	589
720	1516	586
721	1518	584
722	1519	582
723	1521	580
724	1523	577
725	1525	575
726	1527	573
727	1529	571
728	1530	569
729	1532	566
730	1534	564
731	1536	562
732	1538	560
733	1540	558
734	1542	556
735	1544	553
736	1546	551
737	1548	549
738	1550	547
739	1552	545
740	1554	543
741	1555	541
742	1557	538
743	1560	536
744	1562	534
745	1563	532
746	1565	530
747	1567	528
748	1569	525
749	1570	523
750	1572	521
751	1574	519
752	1576	517
753	1578	514
754	1579	512
755	1581	510
756	1583	508
757	1585	506
758	1587	504
759	1589	501
760	1590	499
761	1592	497
762	1594	495
763	1595	492
764	1597	490
765	1599	488
766	1601	486
767	1602	484
768	1604	482
769	1606	479
770	1608	477
771	1609	475
772	1611	473
773	1613	471
774	1615	468
775	1616	466
776	1619	464
777	1621	462
778	1623	460
779	1624	458
780	1626	456
781	1628	454
782	1631	452
783	1633	449
784	1635	447
785	1636	445
786	1638	443
787	1642	441
788	1644	439
789	1647	437
790	1648	435
791	1650	433
792	1652	431
793	1653	429
794	1655	426
795	1657	424
796	1659	422
797	1661	420
798	1663	418
799	1664	416
800	1666	414
801	1668	411
802	1670	409
803	1687	411
804	1689	409
805	1690	406
806	1692	404
807	1694	402
808	1696	400
809	1698	398
810	1700	396
811	1702	394
812	1704	391
813	1706	389
814	1708	387
815	1709	385
816	1711	383
817	1714	381
818	1716	379
819	1718	377
820	1720	375
821	1722	373
822	1724	370
823	1726	368
824	1729	366
825	1732	364
826	1735	363
827	1737	360
828	1740	358
829	1742	356
830	1744	354
831	1746	352
832	1749	350
833	1752	348
834	1754	346
835	1756	344
836	1757	342
837	1759	340
838	1761	337
839	1762	335
840	1765	333
841	1766	331
842	1768	329
843	1770	327
844	1772	325
845	1773	322
846	1775	320
847	1777	318
848	1779	316
849	1781	314
850	1783	312
851	1785	310
852	1786	307
853	1788	305
854	1790	303
855	1792	301
856	1794	299
857	1796	297
858	1798	295
859	1799	292
860	1801	290
861	1803	288
862	1804	286
863	1806	284
864	1808	282
865	1810	280
866	1811	277
867	1813	275
868	1815	273
869	1817	271
870	1819	269
871	1821	267
872	1823	265
873	1825	263
874	1826	260
875	1828	258
876	1830	256
877	1832	254
878	1833	252
879	1835	250
880	1838	248
881	1840	246
882	1842	244
883	1844	242
884	1845	239
885	1847	237
886	1849	235
887	1851	233
888	1853	231
889	1855	229
890	1857	227
891	1858	225
892	1860	222
893	1863	220
894	1866	218
895	1869	216
896	1871	214
897	1873	212
898	1875	210
899	1877	208
900	1878	206
901	1881	204
902	1882	202
903	1885	200
904	1887	198
905	1889	196
906	1892	193
907	1893	191
908	1895	189
909	1897	187
910	1900	185
911	1902	183
912	1904	181
913	1905	179
914	1907	177
915	1909	175
916	1911	172
917	1912	170
918	1915	168
919	1916	166
920	1918	164
921	1920	162
922	1922	160
923	1923	158
924	1926	156
925	1929	154
926	1932	152
927	1933	150
928	1935	147
929	1937	145
930	1938	143
931	1940	141
932	1942	139
933	1944	137
934	1945	135
935	1947	133
936	1949	131
937	1951	129
938	1953	126
939	1955	124
940	1956	122
941	1958	120
942	1960	118
943	1962	116
944	1964	114
945	1965	112
946	1967	110
947	1969	108
948	1971	105
949	1973	103
950	1974	101
951	1977	99
952	1978	97
953	1980	95
954	1982	93
955	1983	91
956	1986	89
957	1988	87
958	1989	85
959	1991	82
960	1993	80
961	1995	78
962	1996	76
963	1998	74
964	2000	72
965	2002	70
966	2003	68
967	2005	66
968	2007	64
969	2009	62
970	2010	60
971	2012	57
972	2014	55
973	2016	53
974	2018	51
975	2020	49
976	2022	47
977	2023	45
978	2025	43
979	2027	41
980	2028	39
981	2030	37
982	2032	35
983	2034	33
984	2036	31
985	2038	28
986	2040	26
987	2041	24
988	2043	22
989	2045	20
990	2047	18
991	2049	16
992	2051	14
993	2052	12
994	2054	10
995	2056	8
996	2058	6
997	2060	4
998	2062	2
999	2064	0
